Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type,31-07-2025,Estimated Asset Value (USD),Missing Valuation
ME0091,"LPOE, MILLTOWN",,F,1,534 NORTH ST,CALAIS,ME,4619,45.1690235,-67.295207,1557.04,,2013.0,2302,Jared Golden,Active,BUILDING,158528.3525,246834985.97660002,False
MA5845,EMOND BUILDING,,L,1,106 PLEASANT ST,ATTLEBORO,MA,2703,41.94806,-71.279171,7477.0,,1999.0,2504,Jake Auchincloss,Active,BUILDING,535441.923,4003499258.2709994,False
AL2036,"SSA IRS WALNUT ST EXECUTIVE CTR, FLORENCE,AL",,L,4,204 S WALNUT ST,FLORENCE,AL,35630,34.8008043,-87.671426,19153.0,,2000.0,104,Robert Aderholt,Active,BUILDING,167895.5616,3215703691.3247995,False
VA3065,NOAA MONITOR NATIONAL MARINE SANCTUARY BUILDING,,L,3,98 MUSEUM DRIVE,NEWPORT NEWS,VA,23606,37.05348609,-76.48865769,4200.0,,2025.0,5103,Robert Scott,Active,BUILDING,361534.183,1518443568.6000001,False
PA0440,1314 GRISWOLD PLAZA,,L,3,1314 GRISWOLD PLZ,ERIE,PA,16501,42.121188,-80.083071,5305.0,,2000.0,4216,Mike Kelly,Active,BUILDING,,,True
NY7078,70 E SUNRISE HIGHWAY,,L,2,70 E SUNRISE HWY,VALLEY STREAM,NY,11581,40.65881,-73.697461,9493.0,,2000.0,3604,Anthony D'Esposito,Active,BUILDING,789230.59,7492165990.87,False
WY1248,RIVERTON REGIONAL AIRPORT,,L,8,4800 AIRPORT RD,RIVERTON,WY,82501,43.06136,-108.458,558.9,,2000.0,5600,Harriet Hageman,Active,BUILDING,263602.0312,147327175.23768002,False
TX2900,TOWER WEST,,L,7,6100 BANDERA RD,SAN ANTONIO,TX,78238,29.48419,-98.606371,12518.0,,2000.0,4820,Joaquin Castro,Active,BUILDING,225925.9252,2828140731.6535997,False
TN2246,MONROE SREET BLDG,,L,4,309 MONROE,MEMPHIS,TN,38103,35.14393,-90.04631,22677.0,,2000.0,4709,Steve Cohen,Active,BUILDING,332247.4619,7534375693.5063,False
TX0330,USBS LOS INDIOS EXPORT DOCK,USBS LOS INDIOS,F,7,100 LOS INDIOS BLVD,LOS INDIOS,TX,78567,26.039767,-97.739553,5669.66,,1992.0,4834,Vicente Gonzalez,Active,STRUCTURE,,,True
CA0505,BS MAIN BLDG,CALEXICO WEST LPOE,F,9,200 E 1ST ST,CALEXICO,CA,92231,32.6655572,-115.49626,91015.34,,1974.0,625,Raul Ruiz,Active,BUILDING,381309.225,34704988758.5115,False
OH2382,LANCASTER OH (252 VENTURE PL) SSA,,L,5,252 VENTURE PL,LANCASTER,OH,43130,39.73606,-82.626091,7331.0,,2000.0,3912,Troy Balderson,Active,BUILDING,271811.5617,1992650558.8227003,False
CA8207,100 FIRST PLAZA,,L,9,100 1ST ST,SAN FRANCISCO,CA,94105,37.78933,-122.3974,72727.0,,2000.0,611,Nancy Pelosi,Active,BUILDING,1070750.658,77872483104.366,False
HI7849,PRINCE KUHIO PLAZA,,L,9,111 E PUAINAKO ST,HILO,HI,96720,19.695297,-155.06383,6405.0,,1984.0,1502,Jill Tokuda,Active,BUILDING,534126.0648,3421077445.044,False
CA7399,1900 E. FIRST STREET,,L,9,1900 E 1ST ST,SANTA ANA,CA,92705,33.74439,-117.83986,39905.0,,2003.0,646,J. Correa,Active,BUILDING,1573274.386,62781514373.329994,False
KY3130,USDA (APHIS) BUILDING,,L,4,1110 AVOCA STATION CT,LOUISVILLE,KY,40245,38.256255,-85.499073,10000.0,,2000.0,2102,Brett Guthrie,Active,BUILDING,474210.0561,4742100561.0,False
VA0687,IVOR MASSEY BUILDING,,L,3,5707 HUNTSMAN RD,RICHMOND,VA,23250,37.51788,-77.331881,13992.0,,2000.0,5104,Jennifer McClellan,Active,BUILDING,,,True
IL2660,5259 S ASHLAND AVE,,L,5,5259 S ASHLAND AVE,CHICAGO,IL,60609,41.79804,-87.664301,8776.0,,2000.0,1707,Danny Davis,Active,BUILDING,250020.3282,2194178400.2832,False
